name, test_case, algorithm, level, duration, compression_ratio, decompression_speed, checksum
constant (uncompressed), constant, none, 0, 1.358314792, 1.0, 6323964549.007134, 65
constant (zstd 0), constant, zstd, 0, 0.364781916, 3.051932435838032e-5, 23548137158.75104, 65
wikipedia_small (uncompressed), wikipedia_small, none, 0, 1.389127917, 1.0, 6183688691.932034, 82
wikipedia_small (zstd 0), wikipedia_small, zstd, 0, 0.655704, 0.009578801691532135, 13100323609.433525, 82
access_logs (uncompressed), access_logs, none, 0, 0.58216575, 1.0, 6016226174.418539, 10
access_logs (zstd -7), access_logs, zstd, -7, 0.874602833, 0.09554821392052967, 4004607223.814012, 10
access_logs (zstd 0), access_logs, zstd, 0, 0.99114425, 0.054467083568480894, 3533734694.016537, 10
access_logs (zstd 22), access_logs, zstd, 22, 0.6874165, 0.028381234979683766, 5095078199.315845, 10
tedi_logs (uncompressed), tedi_logs, none, 0, 0.474719625, 1.0, 5947981423.771979, 10
tedi_logs (zstd -7), tedi_logs, zstd, -7, 2.435368042, 0.3944225427580384, 1159423734.8541179, 10
tedi_logs (zstd 0), tedi_logs, zstd, 0, 2.337853541, 0.261828244140867, 1207784603.0475526, 10
tedi_logs (zstd 22), tedi_logs, zstd, 22, 0.541231583, 0.046951967032264876, 5217033890.278351, 10
2 (uncompressed), 2, none, 0, 0.162058917, 1.0, 6170595352.059523, 97
2 (zstd 0), 2, zstd, 0, 1.223528, 0.604869216, 817308635.3561177, 97
4 (uncompressed), 4, none, 0, 0.161969375, 1.0, 6174006660.209684, 97
4 (zstd 0), 4, zstd, 0, 1.056815333, 0.338802985, 946239109.8748374, 97
6 (uncompressed), 6, none, 0, 0.160445667, 1.0, 6232639489.105057, 97
6 (zstd 0), 6, zstd, 0, 1.1542295, 0.168006632, 866378826.741129, 97
8 (uncompressed), 8, none, 0, 0.162553458, 1.0, 6151822374.643054, 97
8 (zstd 0), 8, zstd, 0, 0.973684, 0.127775352, 1027027249.0869728, 97
10 (uncompressed), 10, none, 0, 0.161316125, 1.0, 6199008313.645024, 97
10 (zstd 0), 10, zstd, 0, 0.726137042, 0.100875838, 1377150513.1396396, 97
12 (uncompressed), 12, none, 0, 0.1587685, 1.0, 6298478602.493567, 97
12 (zstd 0), 12, zstd, 0, 0.61434675, 0.084089597, 1627745243.2197287, 97
14 (uncompressed), 14, none, 0, 0.162379125, 1.0, 6158427076.140483, 97
14 (zstd 0), 14, zstd, 0, 0.529456083, 0.072120123, 1888730778.8283546, 97
16 (uncompressed), 16, none, 0, 0.158661542, 1.0, 6302724575.814346, 97
16 (zstd 0), 16, zstd, 0, 0.469424333, 0.064101534, 2130268777.5241508, 97
18 (uncompressed), 18, none, 0, 0.161403625, 1.0, 6195647712.373251, 97
18 (zstd 0), 18, zstd, 0, 0.430023083, 0.056166372, 2325456561.595788, 97
20 (uncompressed), 20, none, 0, 0.161783458, 1.0, 6181101655.028292, 97
20 (zstd 0), 20, zstd, 0, 0.389687417, 0.050565996, 2566159327.6438794, 97
22 (uncompressed), 22, none, 0, 0.159558667, 1.0, 6267287254.286225, 97
22 (zstd 0), 22, zstd, 0, 0.361540167, 0.046020584, 2765944399.201431, 97
24 (uncompressed), 24, none, 0, 0.161252333, 1.0, 6201460663.517966, 97
24 (zstd 0), 24, zstd, 0, 0.335648958, 0.042888004, 2979303156.3649306, 97
26 (uncompressed), 26, none, 0, 0.160943125, 1.0, 6213375066.50253, 97
26 (zstd 0), 26, zstd, 0, 0.309755041, 0.038995482, 3228357468.442297, 97
28 (uncompressed), 28, none, 0, 0.160916709, 1.0, 6214395050.7961235, 97
28 (zstd 0), 28, zstd, 0, 0.29389275, 0.036223731, 3402601799.465962, 97
30 (uncompressed), 30, none, 0, 0.161508166, 1.0, 6191637393.740202, 97
30 (zstd 0), 30, zstd, 0, 0.277100708, 0.033828026, 3608796264.786159, 97
32 (uncompressed), 32, none, 0, 0.16124325, 1.0, 6201809998.247989, 97
32 (zstd 0), 32, zstd, 0, 0.26775625, 0.032186157, 3734740085.43218, 97
34 (uncompressed), 34, none, 0, 0.161084, 1.0, 6207941198.380969, 97
34 (zstd 0), 34, zstd, 0, 0.247855417, 0.029881456, 4034610226.009303, 97
36 (uncompressed), 36, none, 0, 0.165545041, 1.0, 6040652102.65042, 97
36 (zstd 0), 36, zstd, 0, 0.245531625, 0.031546167, 4072795103.278447, 97
38 (uncompressed), 38, none, 0, 0.165208208, 1.0, 6052968022.024669, 97
38 (zstd 0), 38, zstd, 0, 0.243282166, 0.02989865, 4110453373.7174964, 97
40 (uncompressed), 40, none, 0, 0.163416583, 1.0, 6119330007.040962, 97
40 (zstd 0), 40, zstd, 0, 0.228685084, 0.028748295, 4372825645.244095, 97
45 (uncompressed), 45, none, 0, 0.161527125, 1.0, 6190910659.742133, 97
45 (zstd 0), 45, zstd, 0, 0.201595916, 0.028038391, 4960417948.149307, 97
50 (uncompressed), 50, none, 0, 0.161063333, 1.0, 6208737776.462132, 97
50 (zstd 0), 50, zstd, 0, 0.186399917, 0.025264971, 5364809255.789529, 97
55 (uncompressed), 55, none, 0, 0.159330084, 1.0, 6276278621.682016, 97
55 (zstd 0), 55, zstd, 0, 0.173832167, 0.025240456, 5752675222.64737, 97
60 (uncompressed), 60, none, 0, 0.1598925, 1.0, 6254202041.996967, 97
60 (zstd 0), 60, zstd, 0, 0.172133, 0.023153066, 5809461288.654703, 97
