name, test_case, algorithm, level, duration, compression_ratio, decompression_speed, checksum
constant (uncompressed), constant, none, 0, 55.967309292, 1.0, 153481285.76600787, 65
constant (zstd 0), constant, zstd, 0, 0.363364791, 3.051932435838032e-5, 23639975043.70202, 65
wikipedia_small (uncompressed), wikipedia_small, none, 0, 54.938961584, 1.0, 156354149.1199511, 82
wikipedia_small (zstd 0), wikipedia_small, zstd, 0, 0.625897, 0.009578801691532135, 13724198377.688341, 82
access_logs (uncompressed), access_logs, none, 0, 22.33780375, 1.0, 156794323.3004722, 10
access_logs (zstd -7), access_logs, zstd, -7, 2.138885042, 0.09554821392052967, 1637507745.4957488, 10
access_logs (zstd 0), access_logs, zstd, 0, 1.384050959, 0.054467083568480894, 2530572158.6512766, 10
access_logs (zstd 22), access_logs, zstd, 22, 0.7273335, 0.028381234979683766, 4815453740.271829, 10
tedi_logs (uncompressed), tedi_logs, none, 0, 18.132401708, 1.0, 155722532.3192691, 10
tedi_logs (zstd -7), tedi_logs, zstd, -7, 7.530777959, 0.3944225427580384, 374944464.7515467, 10
tedi_logs (zstd 0), tedi_logs, zstd, 0, 4.927728333, 0.261828244140867, 573007138.4192923, 10
tedi_logs (zstd 22), tedi_logs, zstd, 22, 0.967548125, 0.046951967032264876, 2918328750.8308697, 10
2 (uncompressed), 2, none, 0, 6.339113583, 1.0, 157750762.2961297, 97
2 (zstd 0), 2, zstd, 0, 4.01981825, 0.604869216, 248767466.0415306, 97
4 (uncompressed), 4, none, 0, 6.60468675, 1.0, 151407634.8889673, 97
4 (zstd 0), 4, zstd, 0, 2.312281208, 0.338802985, 432473349.928293, 97
6 (uncompressed), 6, none, 0, 6.509598834, 1.0, 153619297.5175281, 97
6 (zstd 0), 6, zstd, 0, 1.1586181660000001, 0.168006632, 863097118.0543357, 97
8 (uncompressed), 8, none, 0, 6.375878625, 1.0, 156841128.70012483, 97
8 (zstd 0), 8, zstd, 0, 0.98197625, 0.127775352, 1018354568.1476512, 97
10 (uncompressed), 10, none, 0, 6.761226125, 1.0, 147902167.67080837, 97
10 (zstd 0), 10, zstd, 0, 0.757131041, 0.100875838, 1320775329.2999647, 97
12 (uncompressed), 12, none, 0, 6.554911125, 1.0, 152557369.7233004, 97
12 (zstd 0), 12, zstd, 0, 0.690742792, 0.084089597, 1447716880.4100962, 97
14 (uncompressed), 14, none, 0, 6.71177975, 1.0, 148991778.2239502, 97
14 (zstd 0), 14, zstd, 0, 0.577591833, 0.072120123, 1731326419.2224128, 97
16 (uncompressed), 16, none, 0, 6.629364208, 1.0, 150844027.9677571, 97
16 (zstd 0), 16, zstd, 0, 0.522846334, 0.064101534, 1912607844.73627, 97
18 (uncompressed), 18, none, 0, 6.655960916, 1.0, 150241266.83138114, 97
