name, test_case, algorithm, level, duration, compression_ratio, decompression_speed, checksum
constant (uncompressed), constant, none, 0, 8.796271042, 1.0, 976542736.1191127, 65
constant (zstd 0), constant, zstd, 0, 0.37485525, 3.051932435838032e-5, 22915337562.965973, 65
wikipedia_small (uncompressed), wikipedia_small, none, 0, 8.791105667, 1.0, 977116521.7868835, 82
wikipedia_small (zstd 0), wikipedia_small, zstd, 0, 0.669765875, 0.009578801691532135, 12825279568.028156, 82
access_logs (uncompressed), access_logs, none, 0, 3.613883792, 1.0, 969162547.7148159, 10
access_logs (zstd -7), access_logs, zstd, -7, 0.886400333, 0.09554821392052967, 3951308108.3194947, 10
access_logs (zstd 0), access_logs, zstd, 0, 1.001666458, 0.054467083568480894, 3496613862.8553333, 10
access_logs (zstd 22), access_logs, zstd, 22, 0.68858625, 0.028381234979683766, 5086422830.8363695, 10
tedi_logs (uncompressed), tedi_logs, none, 0, 2.8854082500000002, 1.0, 978587176.0088022, 10
tedi_logs (zstd -7), tedi_logs, zstd, -7, 2.427662709, 0.3944225427580384, 1163103713.10317, 10
tedi_logs (zstd 0), tedi_logs, zstd, 0, 2.333460292, 0.261828244140867, 1210058521.535793, 10
tedi_logs (zstd 22), tedi_logs, zstd, 22, 0.545267083, 0.046951967032264876, 5178422829.8996725, 10
2 (uncompressed), 2, none, 0, 1.046605792, 1.0, 955469583.3366839, 97
2 (zstd 0), 2, zstd, 0, 1.2590586670000001, 0.604869216, 794244165.2720857, 97
4 (uncompressed), 4, none, 0, 1.026346833, 1.0, 974329503.2898493, 97
4 (zstd 0), 4, zstd, 0, 1.06608275, 0.338802985, 938013489.10298, 97
6 (uncompressed), 6, none, 0, 1.0232985, 1.0, 977231961.153075, 97
6 (zstd 0), 6, zstd, 0, 1.183958834, 0.168006632, 844623960.9712646, 97
8 (uncompressed), 8, none, 0, 1.023435417, 1.0, 977101225.3331077, 97
8 (zstd 0), 8, zstd, 0, 0.9363975, 0.127775352, 1067922543.5779144, 97
10 (uncompressed), 10, none, 0, 1.023990916, 1.0, 976571163.2543428, 97
10 (zstd 0), 10, zstd, 0, 0.776965667, 0.100875838, 1287058157.744826, 97
12 (uncompressed), 12, none, 0, 1.0255715, 1.0, 975066097.2930702, 97
12 (zstd 0), 12, zstd, 0, 0.623688625, 0.084089597, 1603364178.71979, 97
14 (uncompressed), 14, none, 0, 1.028233958, 1.0, 972541309.5139191, 97
14 (zstd 0), 14, zstd, 0, 0.544751792, 0.072120123, 1835698412.902146, 97
16 (uncompressed), 16, none, 0, 1.023784458, 1.0, 976768100.1463299, 97
16 (zstd 0), 16, zstd, 0, 0.47214975, 0.064101534, 2117972105.2483878, 97
18 (uncompressed), 18, none, 0, 1.0554715, 1.0, 947443867.503765, 97
18 (zstd 0), 18, zstd, 0, 0.432019375, 0.056166372, 2314711001.098041, 97
20 (uncompressed), 20, none, 0, 1.025634792, 1.0, 975005925.8910164, 97
20 (zstd 0), 20, zstd, 0, 0.387067458, 0.050565996, 2583528993.0263267, 97
22 (uncompressed), 22, none, 0, 1.081321084, 1.0, 924794693.0811902, 97
22 (zstd 0), 22, zstd, 0, 0.378639333, 0.046020584, 2641035710.8884935, 97
24 (uncompressed), 24, none, 0, 1.036572875, 1.0, 964717507.1989028, 97
24 (zstd 0), 24, zstd, 0, 0.347305334, 0.042888004, 2879310802.638004, 97
26 (uncompressed), 26, none, 0, 1.036406666, 1.0, 964872219.3764818, 97
