name, test_case, algorithm, level, duration, compression_ratio, decompression_speed, checksum
constant (uncompressed), constant, none, 0, 1.354417583, 1.0, 6342161161.237671, 65
constant (zstd 0), constant, zstd, 0, 0.201365, 3.051932435838032e-5, 42658528498.001144, 65
wikipedia_small (uncompressed), wikipedia_small, none, 0, 1.359556834, 1.0, 6318187204.228345, 82
wikipedia_small (zstd 0), wikipedia_small, zstd, 0, 0.573840542, 0.009578801691532135, 14969201308.191988, 82
access_logs (uncompressed), access_logs, none, 0, 0.555963875, 1.0, 6299763312.859132, 10
access_logs (zstd -7), access_logs, zstd, -7, 0.812895, 0.09554821392052967, 4308601754.2241, 10
access_logs (zstd 0), access_logs, zstd, 0, 0.887923083, 0.054467083568480894, 3944531784.4045734, 10
access_logs (zstd 22), access_logs, zstd, 22, 0.491121542, 0.03785208221917758, 7131515365.294239, 10
tedi_logs (uncompressed), tedi_logs, none, 0, 0.456275333, 1.0, 6188420251.506342, 10
tedi_logs (zstd -7), tedi_logs, zstd, -7, 2.529151459, 0.3944225427580384, 1116431165.4614909, 10
tedi_logs (zstd 0), tedi_logs, zstd, 0, 2.193559333, 0.261828244140867, 1287233706.6617198, 10
tedi_logs (zstd 22), tedi_logs, zstd, 22, 0.492740291, 0.046951967032264876, 5730449818.239037, 10
target (uncompressed), target, none, 0, 0.419038292, 1.0, 6292724847.207997, 0
target (zstd 0), target, zstd, 0, 1.9267973330000001, 0.30201164706335076, 1368536600.522687, 0
target (zstd -7), target, zstd, -7, 1.1279265, 0.5045270826252272, 2337823140.0716267, 0
target (zstd 10), target, zstd, 10, 1.8302296249999999, 0.27704935007684683, 1440744175.474703, 0
2 (uncompressed), 2, none, 0, 0.163324417, 1.0, 6122783221.078328, 97
2 (zstd 0), 2, zstd, 0, 1.1744614580000001, 0.60484866, 851454079.8153633, 97
4 (uncompressed), 4, none, 0, 0.163047167, 1.0, 6133194574.303766, 97
4 (zstd 0), 4, zstd, 0, 0.959151458, 0.338808049, 1042588208.2118464, 97
6 (uncompressed), 6, none, 0, 0.162087958, 1.0, 6169489777.889607, 97
6 (zstd 0), 6, zstd, 0, 1.011176625, 0.16800641, 988946911.2282931, 97
8 (uncompressed), 8, none, 0, 0.162902375, 1.0, 6138645922.13588, 97
