name, test_case, algorithm, level, duration, compression_ratio, decompression_speed, checksum
constant (uncompressed), constant, none, 0, 8.819963583, 1.0, 973919507.735455, 65
constant (zstd 0), constant, zstd, 0, 0.2210865, 3.051932435838032e-5, 38853275034.88454, 65
wikipedia_small (uncompressed), wikipedia_small, none, 0, 8.843190375, 1.0, 971361491.468513, 82
wikipedia_small (zstd 0), wikipedia_small, zstd, 0, 0.581222958, 0.009578801691532135, 14779069673.293943, 82
access_logs (uncompressed), access_logs, none, 0, 3.614028709, 1.0, 969123685.7853085, 10
access_logs (zstd -7), access_logs, zstd, -7, 0.822062333, 0.09554821392052967, 4260553831.992689, 10
access_logs (zstd 0), access_logs, zstd, 0, 0.898217125, 0.054467083568480894, 3899325369.6872015, 10
access_logs (zstd 22), access_logs, zstd, 22, 0.65709025, 0.028381234979683766, 5330227960.314432, 10
tedi_logs (uncompressed), tedi_logs, none, 0, 2.924304875, 1.0, 965570838.7792501, 10
tedi_logs (zstd -7), tedi_logs, zstd, -7, 2.232928959, 0.3944225427580384, 1264537995.9891505, 10
tedi_logs (zstd 0), tedi_logs, zstd, 0, 2.3545253329999998, 0.261828244140867, 1199232589.0171258, 10
tedi_logs (zstd 22), tedi_logs, zstd, 22, 0.48341275, 0.046951967032264876, 5841019937.930888, 10
target (uncompressed), target, none, 0, 2.707368625, 1.0, 973968837.3614066, 0
target (zstd 0), target, zstd, 0, 1.8890186249999998, 0.30201164706335076, 1395906126.653463, 0
target (zstd -7), target, zstd, -7, 1.365968542, 0.5045270826252272, 1930419765.1134486, 0
target (zstd 10), target, zstd, 10, 1.812743791, 0.27704935007684683, 1454641679.1450481, 0
2 (uncompressed), 2, none, 0, 1.043387125, 1.0, 958417040.0799224, 97
2 (zstd 0), 2, zstd, 0, 1.235602208, 0.604869216, 809321959.3858155, 97
4 (uncompressed), 4, none, 0, 1.056731125, 1.0, 946314513.0697272, 97
4 (zstd 0), 4, zstd, 0, 1.00032125, 0.338802985, 999678853.1684196, 97
6 (uncompressed), 6, none, 0, 1.0508865, 1.0, 951577549.0502542, 97
6 (zstd 0), 6, zstd, 0, 1.038967334, 0.168006632, 962494168.2718967, 97
8 (uncompressed), 8, none, 0, 1.042350833, 1.0, 959369886.1657647, 97
8 (zstd 0), 8, zstd, 0, 0.840852708, 0.127775352, 1189268929.6066346, 97
10 (uncompressed), 10, none, 0, 1.067237875, 1.0, 936998230.1274681, 97
10 (zstd 0), 10, zstd, 0, 0.664151333, 0.100875838, 1505680934.9202948, 97
12 (uncompressed), 12, none, 0, 1.0586915, 1.0, 944562226.1064721, 97
12 (zstd 0), 12, zstd, 0, 0.592777709, 0.084089597, 1686973016.7265785, 97
14 (uncompressed), 14, none, 0, 1.042919333, 1.0, 958846929.3434798, 97
14 (zstd 0), 14, zstd, 0, 0.477609291, 0.072120123, 2093761614.030243, 97
16 (uncompressed), 16, none, 0, 1.037032625, 1.0, 964289816.8223011, 97
16 (zstd 0), 16, zstd, 0, 0.44612725, 0.064101534, 2241512931.5682917, 97
18 (uncompressed), 18, none, 0, 1.0511736250000001, 1.0, 951317628.4269879, 97
18 (zstd 0), 18, zstd, 0, 0.394224334, 0.056166372, 2536626772.511714, 97
20 (uncompressed), 20, none, 0, 1.044977167, 1.0, 956958708.3619024, 97
20 (zstd 0), 20, zstd, 0, 0.382958125, 0.050565996, 2611251556.5507326, 97
22 (uncompressed), 22, none, 0, 1.050191375, 1.0, 952207401.2462728, 97
22 (zstd 0), 22, zstd, 0, 0.334776791, 0.046020584, 2987064894.830179, 97
24 (uncompressed), 24, none, 0, 1.057539583, 1.0, 945591083.3741341, 97
24 (zstd 0), 24, zstd, 0, 0.315633792, 0.042888004, 3168228578.0097966, 97
26 (uncompressed), 26, none, 0, 1.039226166, 1.0, 962254447.3153691, 97
26 (zstd 0), 26, zstd, 0, 0.285779125, 0.038995482, 3499205898.961304, 97
28 (uncompressed), 28, none, 0, 1.042261166, 1.0, 959452421.9278069, 97
28 (zstd 0), 28, zstd, 0, 0.275359375, 0.036223731, 3631617772.2294726, 97
30 (uncompressed), 30, none, 0, 1.063154667, 1.0, 940596915.0488617, 97
30 (zstd 0), 30, zstd, 0, 0.281494708, 0.033828026, 3552464652.3727903, 97
32 (uncompressed), 32, none, 0, 1.044230125, 1.0, 957643316.409781, 97
32 (zstd 0), 32, zstd, 0, 0.265482459, 0.032186157, 3766727202.1162047, 97
34 (uncompressed), 34, none, 0, 1.047147125, 1.0, 954975643.943061, 97
34 (zstd 0), 34, zstd, 0, 0.231617417, 0.029881456, 4317464605.867702, 97
36 (uncompressed), 36, none, 0, 1.060194125, 1.0, 943223487.491029, 97
36 (zstd 0), 36, zstd, 0, 0.229624583, 0.031546167, 4354934419.195004, 97
38 (uncompressed), 38, none, 0, 1.106599167, 1.0, 903669575.9594766, 97
38 (zstd 0), 38, zstd, 0, 0.239268209, 0.02989865, 4179410228.2932205, 97
40 (uncompressed), 40, none, 0, 1.053923042, 1.0, 948835882.8385876, 97
40 (zstd 0), 40, zstd, 0, 0.239377792, 0.028748295, 4177496966.8030024, 97
45 (uncompressed), 45, none, 0, 1.04800975, 1.0, 954189596.041449, 97
45 (zstd 0), 45, zstd, 0, 0.21671425, 0.028038391, 4614371228.472516, 97
50 (uncompressed), 50, none, 0, 1.059617917, 1.0, 943736401.5429347, 97
50 (zstd 0), 50, zstd, 0, 0.201037834, 0.025264971, 4974188092.376681, 97
55 (uncompressed), 55, none, 0, 1.050560459, 1.0, 951872870.7454618, 97
55 (zstd 0), 55, zstd, 0, 0.179211416, 0.025240456, 5580001666.858097, 97
60 (uncompressed), 60, none, 0, 1.14408275, 1.0, 874062649.7515149, 97
60 (zstd 0), 60, zstd, 0, 0.185676417, 0.023153066, 5385713577.185195, 97
65 (uncompressed), 65, none, 0, 1.025472667, 1.0, 975160072.208926, 97
65 (zstd 0), 65, zstd, 0, 0.149354584, 0.021395775, 6695475781.312476, 97
70 (uncompressed), 70, none, 0, 1.072908125, 1.0, 932046255.1255262, 97
